,YEAR,POUNDS GRADED,PRIME,CHOICE,SELECT,STNDRD,COMRCL,UTILITY,CUTTER,CANNER,S/H,%  of FEDERAL  SLAUGHTER	 BEEF
0,1930,69,,,,,,,,,,1.2
1,1931,159,,,,,,,,,,2.7
2,1932,208,,,,,,,,,,3.8
3,1933,238,,,,,,,,,,3.9
4,1934,262,,,,,,,,,,3.3
5,1935,268,,,,,,,,,,4.2
6,1936,450,,,,,,,,,,6.3
7,1937,408,,,,,,,,,,6.2
8,1938,598,27,283,187,,54,34,11,2.0,,9.0
9,1939,509,10,232,176,,55,29,6,1.0,,7.5
10,1940,579,12,230,234,,69,25,7,2.0,,8.3
11,1941,789,13,308,344,,86,26,9,3.0,,10.1
12,1942,1478,,439,560,,284,173,15,7.0,,17.3
13,1943,6691,,1297,2081,,1544,984,785,,,80.8
14,1944,8328,,865,2329,,2104,1560,1470,,,94.9
15,1945,9067,,1258,2791,,2421,1506,1091,,,92.4
16,1946,6681,,1049,2512,,1710,869,541,,,76.0
17,1947,2932,6,305,1536,,695,252,138,,,29.0
18,1948,2022,,,,,,,,,,23.1
19,1949,2280,,,,,,,,,,24.9
20,1950,2262,,,,,,,,,,24.5
21,1951,6250,,,,,,,,,,73.1
22,1952,8784,,,,,,,,,,94.1
23,1953,6529,,,,,,,,,,54.2
24,1954,5708,,,,,,,,,,45.3
25,1955,6050,,,,,,,,,,45.8
26,1956,6989,401,3994,1843,153.0,249,300,39,10.0,,49.6
27,1957,6943,366,4097,1883,263.0,115,174,37,8.0,,50.1
28,1958,6449,231,3998,1847,190.0,72,77,29,5.0,,49.6
29,1959,6728,191,4445,1776,170.0,55,77,12,2.0,,50.8
30,1960,7058,199,4660,1773,199.0,57,156,12,2.0,,49.1
31,1961,7439,260,5149,1590,202.0,45,145,45,3.0,,49.8
32,1962,7400,243,5135,1620,192.0,55,125,28,2.0,,49.6
33,1963,8312,306,6040,1616,170.0,37,120,21,2.0,,51.8
34,1964,10053,439,7215,1756,204.0,38,184,214,3.0,,55.7
35,1965,10295,611,7577,1593,188.0,57,195,73,1.0,,58.1
36,1966,12037,770,9158,1742,125.0,50,150,42,,,61.8
37,1967,12729,919,9774,1758,93.0,35,125,25,,,63.7
38,1968,13081,889,10181,1717,75.0,39,165,15,,,63.3
39,1969,13385,911,10382,1727,75.0,43,222,25,,,63.9
40,1970,13927,949,11082,1649,54.0,33,150,10,,,64.9
41,1973,12142,745,9776,1489,25.0,15,83,8,1.0,,57.6
42,1974,12403,779,9849,1444,42.0,38,237,14,,,54.3
43,1975,10266,528,7936,1321,72.0,39,317,52,1.0,,43.4
44,1976,13909,1369,11062,895,58.0,85,365,74,1.0,,54.1
45,1977,13990,1194,11661,722,38.0,86,267,22,,,55.9
46,1978,13551,826,11854,643,28.0,47,141,12,,,59.5
47,1979,11986,730,10671,490,19.0,18,52,5,1.0,,57.6
48,1980,12137,722,10800,516,26.0,19,50,3,1.0,,56.8
49,1981,12118,624,10954,431,16.0,19,67,6,1.0,,54.6
50,1982,,,,,,,,,,,
51,1983,12122,472,11152,423,13.0,13,48,1,,67.6,54.7
52,1984,11686,363,10829,430,12.0,8,43,1,,65.1,53.3
53,1985,12776,457,11875,386,11.0,8,35,4,,68.5,57.6
54,1986,9786,325,9155,277,5.0,2,20,2,,69.0,51.5
55,1987,12127,382,11462,265,2.0,1,15,,,64.3,54.0
56,1988,12567,379,11597,579,2.0,,10,,,66.0,56.4
57,1989,12890,335,11105,1433,1.0,1,11,3,1.0,78.4,66.9
58,1990,12345,255,10172,1906,,1,11,,,86.7,74.3
59,1991,12919,289,10193,2427,,1,9,,,92.4,79.8
60,1992,13816,286,10315,3203,4.0,1,7,,,95.2,84.5
61,1993,15572,326,10377,4846,8.0,3,12,,,95.1,81.3
62,1994,16813,416,10895,5481,2.0,1,18,,,94.3,81.9
63,1995,18139,433,11276,6414,1.0,1,13,,,94.7,82.2
64,1996,19689,431,10964,6735,1.0,1,7,,,95.5,81.1
65,1997,18614,473,10906,7228,1.0,1,6,1,,95.4,82.0
66,1998,19955,662,11912,7374,1.0,1,6,,,95.7,83.2
67,1999,21314,660,11901,7880,2.0,,5,,,95.2,83.5
68,2000,21689,684,11906,8199,1.0,1,5,,,95.5,84.0
69,2001,20972,717,11503,7909,1.0,1,2,,,95.5,83.0
70,2002,21961,806,12334,8004,,,,,,96.0,83.8
71,2003,21155,608,11580,8108,9.0,,,,,95.5,82.2
72,2004,19874,585,10986,7458,80.0,1,1,,,96.3,83.7
73,2005,20193,602,11133,7679,29.0,3,3,,,96.0,84.1
74,2006,21134,577,11367,8279,6.0,3,6,,,96.1,83.6
75,2007,20969,525,11655,7872,56.0,2,10,,,94.9,82.0
76,2008,21169,595,12459,7312,70.0,2,7,,,95.4,81.6
77,2009,20460,635,12725,6524,49.0,2,9,,,94.1,80.2
78,2010,20860,673,13126,6416,132.0,3,14,,,96.8,82.0
79,2011,20342,717,13170,6204,68.0,3,16,,,95.0,80.1
80,2012,19952,703,12889,6102,63.0,3,15,,,94.2,79.7
81,2013,19755,758,13038,5788,11.0,4,16,,,94.2,79.7
82,2014,19234,842,13157,5067,8.0,4,18,,,94.3,80.9
83,2015,23720,999,13409,3971,3.0,3,19,,,94.4,80.9
